Country Name,Year,score_pca_economics,score_pca_wellbeing
Chile,2000,-0.03524223415524985,0.49368992018564056
Chile,2001,-0.05944185565780291,0.5060666669066138
Chile,2002,-0.06819254023498528,0.5157340515629711
Chile,2003,-0.05409238206202105,0.5223534038966346
Chile,2004,-0.05946892747946553,0.5454189689349584
Chile,2005,-0.01676905893542005,0.5655352804758619
Chile,2006,0.0655396955125642,0.5841134645946648
Chile,2007,0.09554228306549103,0.5871769638998019
Chile,2008,0.03996835810276858,0.5899723492506281
Chile,2009,-0.10795050302763295,0.5933039625100764
Chile,2010,0.04430018966116153,0.5996574191532476
Chile,2011,0.10118348875122517,0.6051077551082131
Chile,2012,0.13850790075177644,0.6055882158346675
Chile,2013,0.15427523251654895,0.6109370615209796
Chile,2014,0.0933908618853927,0.6236191415900414
Chile,2015,0.0593039486477874,0.6381497968177741
Chile,2016,0.03351310632122566,0.6421997286539455
Chile,2017,0.031804649211817304,0.6466447757912067
Chile,2018,0.015305135972706302,0.6380809655982635
Chile,2019,-0.016266964809358044,0.6269206834267296
Chile,2020,-0.2147216008371711,0.6053180682978205
Chile,2021,-0.12167377911591348,0.626328627471656
Chile,2022,-0.1755935255288139,0.6582471912077223
Chile,2023,-0.21032519075379513,0.6863427113673637
Costa Rica,2000,0.29798698403964696,0.571106949345277
Costa Rica,2001,0.24314640563714898,0.5184728071895018
Costa Rica,2002,0.21219966851872935,0.5189767454115455
Costa Rica,2003,0.1824450773564925,0.5574638240063079
Costa Rica,2004,0.16520348049574282,0.5741273131903113
Costa Rica,2005,0.128588725973267,0.5917362568447793
Costa Rica,2006,0.14033433345004337,0.5692467267352385
Costa Rica,2007,0.1814705016992397,0.5699381785121458
Costa Rica,2008,0.13176427168245858,0.5807851168224452
Costa Rica,2009,-0.011694636627377686,0.555809293376958
Costa Rica,2010,-0.07181182886711729,0.5915460318465348
Costa Rica,2011,-0.1305602143127389,0.5842819980458601
Costa Rica,2012,-0.10856449764177514,0.5940665246345971
Costa Rica,2013,-0.047506636291500995,0.5867178232694029
Costa Rica,2014,-0.13017537991700515,0.5956160518740689
Costa Rica,2015,-0.1097292649847084,0.6008681523176442
Costa Rica,2016,-0.10470919979553565,0.5908027562355337
Costa Rica,2017,-0.10383537432023214,0.5964244609020738
Costa Rica,2018,-0.2262816258340701,0.6019319197608973
Costa Rica,2019,-0.2502772662039934,0.6020703209250484
Costa Rica,2020,-0.5943600299137028,0.5801701982799135
Costa Rica,2021,-0.3314966985087783,0.5634551328958125
Costa Rica,2022,-0.27699316639749605,0.6020838781419543
Costa Rica,2023,-0.019427107597498706,0.6299321742164907
Denmark,2000,0.5400019650203232,0.8875711113217284
Denmark,2001,0.5235262312511371,0.8820878078193393
Denmark,2002,0.5499344608019647,0.8752277958888317
Denmark,2003,0.6388318319067594,0.8704328466005018
Denmark,2004,0.7391617961005241,0.8850443939690604
Denmark,2005,0.8008312466752603,0.8858477662297695
Denmark,2006,0.889288020508364,0.879702975313137
Denmark,2007,1.00593752673528,0.8769613235619425
Denmark,2008,1.1429703817837686,0.894348940328898
Denmark,2009,0.9299883125900795,0.8757189492740154
Denmark,2010,0.8567452223064297,0.8758877009202969
Denmark,2011,0.9138675918248157,0.8843813241720386
Denmark,2012,0.8392440534899898,0.8810050518064165
Denmark,2013,0.9026676074815925,0.8748258432425815
Denmark,2014,0.9571594591311755,0.881854606819371
Denmark,2015,0.8085613969417503,0.8846575430175836
Denmark,2016,0.8495918791025096,0.8867914410952786
Denmark,2017,0.8942438130116224,0.8833807509413418
Denmark,2018,0.9719804784618953,0.8882025671706
Denmark,2019,0.9403953749445116,0.9021450761364158
Denmark,2020,0.9221425568357692,0.9070474926240091
Denmark,2021,1.098634290429483,0.8931855840576403
Denmark,2022,1.0624703917990237,0.8779318652272675
Denmark,2023,1.0498762267051014,0.8773702941649009
Germany,2000,0.25515756559226727,0.835800375157645
Germany,2001,0.2548953043393368,0.8276367043510797
Germany,2002,0.2444621047783251,0.8276098375512635
Germany,2003,0.28555090396678695,0.8297437354878464
Germany,2004,0.31788442162830505,0.8284400766117886
Germany,2005,0.2888667016096435,0.8112212116322273
Germany,2006,0.3586516533991922,0.8237332787114056
Germany,2007,0.506377167260791,0.8266436821088816
Germany,2008,0.6232428317449357,0.8350373891498593
Germany,2009,0.5518673057901062,0.8406012930516956
Germany,2010,0.5766043761831412,0.846887968814794
Germany,2011,0.6881750054220153,0.8476837902281167
Germany,2012,0.6455969603182489,0.8422080375731138
Germany,2013,0.6890708019097517,0.8359826462570338
Germany,2014,0.7305511121664131,0.8541392176374962
Germany,2015,0.6204837649832697,0.8353480256426061
Germany,2016,0.6500951069467886,0.8444225359091441
Germany,2017,0.7052497650409538,0.8458412129729642
Germany,2018,0.7712876800165174,0.8361245312446122
Germany,2019,0.752387013863906,0.8431532948214013
Germany,2020,0.7225298376259144,0.831302715015354
Germany,2021,0.7835380650989938,0.8277576910034503
Germany,2022,0.6968691767385643,0.8251866881571679
Germany,2023,0.7472016971748825,0.824247084638749
Indonesia,2000,0.21202520124746135,0.6522386356525216
Indonesia,2001,0.1032010299220964,0.6438866790521591
Indonesia,2002,0.046455270472677834,0.6629645495466517
Indonesia,2003,0.012856756311477646,0.6779629099617763
Indonesia,2004,-0.007058465970090855,0.6399745943362916
Indonesia,2005,-0.10296944504056804,0.6752595248277697
Indonesia,2006,-0.07179420638468598,0.6549881740998638
Indonesia,2007,-0.03146356312285159,0.6349835816045781
Indonesia,2008,-0.026154488607128434,0.645702162846408
Indonesia,2009,-0.011573094610825174,0.637196338099451
Indonesia,2010,0.009614794924412251,0.6219540190864502
Indonesia,2011,0.03049214851844731,0.5800129470943799
Indonesia,2012,0.03617932670333571,0.5943749450539193
Indonesia,2013,-0.0009594990505324419,0.5723087527669743
Indonesia,2014,-0.02453443428976515,0.5769103794942115
Indonesia,2015,-0.052903646248624925,0.5884333025989744
Indonesia,2016,-0.03801237105472613,0.6094343717209756
Indonesia,2017,-0.04549548266284509,0.6194601454642078
